Method,Accuracy,Macro-Precision,Macro-Recall,Macro-F1,Avg-OOV-Test
TF-IDF + LR,0.8822368421052632,0.8815460502102195,0.8822368421052631,0.8815374280926714,
Best Word2Vec(avg) + LR,0.8717105263157895,0.871055688166452,0.8717105263157894,0.8713206786574682,0.06108020695141728
GloVe-100d(avg) + LR,0.8848684210526315,0.8845103243945944,0.8848684210526316,0.8846209337249884,0.035978086379416255
